annee;date;Ensemble;Femmes;Hommes
2004;2004T4;60,69133537;61,28810575;60,10114921
2005;2005T4;60,64923148;61,23701865;60,07957797
2006;2006T4;60,57771781;61,15296571;60,033806
2007;2007T4;60,54582911;61,08912314;60,01662123
2008;2008T4;60,48216444;61,00579387;59,92380242
2009;2009T4;60,5519119;60,9681579;60,10614347
2010;2010T4;60,516216;60,84398517;60,15709887
2011;2011T4;60,76611512;61,00084953;60,50219086
2012;2012T4;61,02558877;61,30641944;60,71500119
2013;2013T4;61,18865183;61,46765973;60,87502683
2014;2014T4;61,35783379;61,63475757;61,04493015
2015;2015T4;61,6037043;61,87763072;61,29668596
2016;2016T4;61,91779554;62,19267136;61,60790897
2017;2017T4;62,06263348;62,34158751;61,74506498
2018;2018T4;62,14935055;62,43041344;61,83226777
